"s"	"ct"
"http://rdf.glycoinfo.org/glycan/G83496MT"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dglc-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:a-dglc-HEX-1:5
9b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:5o(6+1)8d
8:8o(3+1)9d"
"http://rdf.glycoinfo.org/glycan/G74491LU"	"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:b-dglc-HEX-1:5
7s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(6+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n"
"http://rdf.glycoinfo.org/glycan/G72920RF"	"RES
1b:b-dxyl-PEN-1:5
2b:b-dxyl-PEN-1:5
3b:a-dxyl-PEN-1:5
LIN
1:1o(2+1)2d
2:2o(4+1)3d"
"http://rdf.glycoinfo.org/glycan/G22518MQ"	"RES
1b:a-dman-HEX-1:5
2b:a-dman-HEX-1:5
3s:amino
LIN
1:1o(6+1)2d
2:2d(2+1)3n"
"http://rdf.glycoinfo.org/glycan/G63679ZU"	"RES
1b:a-dman-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
4b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2d(2+1)3n
3:2o(4+1)4d"
"http://rdf.glycoinfo.org/glycan/G28423CD"	"RES
1b:a-dglc-HEX-1:5
2b:a-lgro-dman-HEP-1:5
LIN
1:1o(6+1)2d"
"http://rdf.glycoinfo.org/glycan/G40598FI"	"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
3b:a-dglc-HEX-1:5
4b:a-dglc-HEX-1:5
5b:a-dglc-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(4+1)3d
3:2o(6+1)4d
4:4o(4+1)5d"
"http://rdf.glycoinfo.org/glycan/G08386BY"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dglc-HEX-1:5
6s:n-acetyl
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dglc-HEX-1:5
10s:n-acetyl
11b:b-dglc-HEX-1:5
12s:n-acetyl
13s:glycolyl
14s:glycolyl
15s:glycolyl
16s:glycolyl
17s:glycolyl
18s:glycolyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9d(2+1)10n
10:9o(4+1)11d
11:11d(2+1)12n
12:11o(6+1)13n
13:9o(6+1)14n
14:7o(6+1)15n
15:5o(6+1)16n
16:3o(6+1)17n
17:1o(6+1)18n"
"http://rdf.glycoinfo.org/glycan/G42372RH"	"RES
1b:x-dgal-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
4b:b-dgal-HEX-1:5
5b:b-dglc-HEX-1:5
6s:n-acetyl
LIN
1:1o(3+1)2d
2:2d(2+1)3n
3:2o(3+1)4d
4:4o(3+1)5d
5:5d(2+1)6n"
"http://rdf.glycoinfo.org/glycan/G79249GP"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dgal-HEX-1:5
10b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(4+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:5o(6+1)10d"
"http://rdf.glycoinfo.org/glycan/G31173LJ"	"RES
1b:x-drib-PEN-1:5
2b:b-dxyl-PEN-1:5
3b:b-dxyl-PEN-1:5
4s:anhydro
LIN
1:1o(4+1)2d
2:2o(4+1)3d
3:1d(2+1)4n
4:1o(3+1)4n"
"http://rdf.glycoinfo.org/glycan/G14790EN"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:b-dglc-HEX-1:5
6s:n-acetyl
7b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4o(2+1)5d
5:5d(2+1)6n
6:3o(6+1)7d"
"http://rdf.glycoinfo.org/glycan/G92145PJ"	"RES
1b:a-dgal-HEX-1:5
2s:(r)-lactate
LIN
1:1o(6+1)2n"
"http://rdf.glycoinfo.org/glycan/G72490CF"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
6b:b-dglc-HEX-1:5
7s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:3o(6+1)5d
5:5o(2+1)6d
6:6d(2+1)7n"
"http://rdf.glycoinfo.org/glycan/G84880VC"	"RES
1b:x-dgal-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dgal-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(6+1)3d"
"http://rdf.glycoinfo.org/glycan/G78614EW"	"RES
1b:x-dman-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dgal-HEX-1:5
4b:a-lara-PEN-1:4
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3o(2+1)4d"
"http://rdf.glycoinfo.org/glycan/G52446JQ"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
6s:phosphate
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
9s:phosphate
10b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4o(2+1)5d
5:5o(6+1)6n
6:3o(6+1)7d
7:7o(3+1)8d
8:8o(6+1)9n
9:7o(6+1)10d"
"http://rdf.glycoinfo.org/glycan/G61071WX"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dglc-HEX-1:5
8b:a-dglc-HEX-1:5
9b:a-dman-HEX-1:5
10b:a-dman-HEX-1:5
11b:a-dman-HEX-1:5
12b:a-dman-HEX-1:5
13b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4o(2+1)5d
5:5o(2+1)6d
6:6o(3+1)7d
7:7o(3+1)8d
8:3o(6+1)9d
9:9o(3+1)10d
10:10o(2+1)11d
11:9o(6+1)12d
12:12o(2+1)13d"
"http://rdf.glycoinfo.org/glycan/G62373SV"	"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
4b:a-dglc-HEX-1:5
5b:a-dglc-HEX-1:5
6b:a-dglc-HEX-1:5
7b:a-dglc-HEX-1:5
8s:methyl
9s:methyl
10s:methyl
11b:b-dglc-HEX-1:5
LIN
1:1o(6+1)2d
2:2o(3+1)3d
3:3o(4+1)4d
4:4o(3+1)5d
5:4o(4+1)6d
6:6o(4+1)7d
7:7o(6+1)8n
8:6o(6+1)9n
9:4o(6+1)10n
10:2o(4+1)11d"
"http://rdf.glycoinfo.org/glycan/G35466TW"	"RES
1b:a-dall-HEX-1:5
2b:a-dglc-HEX-1:5
LIN
1:1o(4+1)2d"
"http://rdf.glycoinfo.org/glycan/G98438NL"	"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
4b:b-dglc-HEX-1:5
5b:b-dglc-HEX-1:5
6b:b-dglc-HEX-1:5
7b:b-dglc-HEX-1:5
8s:amino
LIN
1:1o(6+1)2d
2:2o(6+1)3d
3:3o(3+1)4d
4:3o(6+1)5d
5:5o(3+1)6d
6:5o(6+1)7d
7:7d(2+1)8n"
"http://rdf.glycoinfo.org/glycan/G96648KQ"	"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(2+1)3d"
"http://rdf.glycoinfo.org/glycan/G31822CM"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dgal-HEX-1:5
10b:b-dglc-HEX-1:5
11s:n-acetyl
12b:b-dgal-HEX-1:5
13b:a-dman-HEX-1:5
14b:b-dglc-HEX-1:5
15s:n-acetyl
16b:b-dgal-HEX-1:5
17b:b-dglc-HEX-1:5
18s:n-acetyl
19b:b-dgal-HEX-1:5
20b:b-dglc-HEX-1:5
21s:n-acetyl
22b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:6o(4+1)10d
10:10d(2+1)11n
11:10o(4+1)12d
12:5o(6+1)13d
13:13o(2+1)14d
14:14d(2+1)15n
15:14o(4+1)16d
16:13o(6+1)17d
17:17d(2+1)18n
18:17o(3+1)19d
19:19o(3+1)20d
20:20d(2+1)21n
21:20o(4+1)22d"
"http://rdf.glycoinfo.org/glycan/G84430VZ"	"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
4b:b-dglc-HEX-1:5
5b:a-dxyl-PEN-1:5
6b:a-dxyl-PEN-1:5
7b:a-dxyl-PEN-1:5
8b:a-lara-PEN-1:4
LIN
1:1o(4+1)2d
2:2o(4+1)3d
3:3o(4+1)4d
4:4o(6+1)5d
5:3o(6+1)6d
6:2o(6+1)7d
7:7o(2+1)8d"
"http://rdf.glycoinfo.org/glycan/G31201SC"	"RES
1b:x-lara-PEN-1:4
2b:b-lara-PEN-1:4
3b:b-lara-PEN-1:4
4b:b-lara-PEN-1:4
LIN
1:1o(2+1)2d
2:2o(2+1)3d
3:3o(3+1)4d"
"http://rdf.glycoinfo.org/glycan/G55186PG"	"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
LIN
1:1o(6+1)2d
2:2o(3+1)3d"
"http://rdf.glycoinfo.org/glycan/G92495YI"	"RES
1b:b-dglc-HEX-1:5
2b:b-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:b-dgal-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dgal-HEX-1:5
10b:a-dman-HEX-1:5
11b:b-dglc-HEX-1:5
12s:n-acetyl
13b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3o(2+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:3o(4+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:2o(6+1)10d
10:10o(2+1)11d
11:11d(2+1)12n
12:11o(4+1)13d"
"http://rdf.glycoinfo.org/glycan/G60258IX"	"RES
1b:a-dgal-HEX-1:5
2b:a-dgal-HEX-1:5
3b:a-dglc-HEX-1:5
4b:a-dgal-HEX-1:5
5b:a-dgal-HEX-1:5
6b:a-dglc-HEX-1:5
LIN
1:1o(2+1)2d
2:2o(6+1)3d
3:3o(6+1)4d
4:4o(6+1)5d
5:5o(2+1)6d"
"http://rdf.glycoinfo.org/glycan/G72718TT"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dgal-HEX-1:5
10b:b-dglc-HEX-1:5
11s:n-acetyl
12b:a-dman-HEX-1:5
13b:b-dglc-HEX-1:5
14s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:5o(4+1)10d
10:10d(2+1)11n
11:5o(6+1)12d
12:12o(2+1)13d
13:13d(2+1)14n"
"http://rdf.glycoinfo.org/glycan/G68371HY"	"RES
1b:b-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dgal-HEX-1:5
LIN
1:1o(6+1)2d
2:2o(6+1)3d"
"http://rdf.glycoinfo.org/glycan/G03250GT"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(6+1)6d
6:6o(6+1)7d
7:7o(2+1)8d"
"http://rdf.glycoinfo.org/glycan/G50200KE"	"RES
1b:b-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(4+1)3d"
"http://rdf.glycoinfo.org/glycan/G86945CM"	"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
4b:b-dglc-HEX-1:5
5b:a-dxyl-PEN-1:5
6b:a-dxyl-PEN-1:5
7b:b-dgal-HEX-1:5
8b:a-dxyl-PEN-1:5
LIN
1:1o(4+1)2d
2:2o(4+1)3d
3:3o(4+1)4d
4:4o(6+1)5d
5:3o(6+1)6d
6:6o(2+1)7d
7:2o(6+1)8d"
"http://rdf.glycoinfo.org/glycan/G06851NM"	"RES
1b:b-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
3b:x-dglc-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(4+1)3d"
"http://rdf.glycoinfo.org/glycan/G98579RP"	"RES
1b:x-dman-HEX-1:5
2b:b-dxyl-PEN-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(2+1)2d
2:1o(6+1)3d"
"http://rdf.glycoinfo.org/glycan/G08287EF"	"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dglc-HEX-1:5
4b:b-dglc-HEX-1:5
5b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(4+1)3d
3:3o(2+1)4d
4:3o(3+1)5d"
"http://rdf.glycoinfo.org/glycan/G87374TF"	"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
3s:phosphate
4s:phosphate
LIN
1:1o(2+1)2d
2:2o(6+1)3n
3:1o(6+1)4n"
"http://rdf.glycoinfo.org/glycan/G84702VT"	"RES
1b:x-dman-HEX-1:5
2b:x-dglc-HEX-1:5
3s:n-acetyl
LIN
1:1o(2+1)2d
2:2d(2+1)3n"
"http://rdf.glycoinfo.org/glycan/G85200FA"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
9b:a-dman-HEX-1:5
10b:a-dman-HEX-1:5
11b:a-dman-HEX-1:5
12b:a-dman-HEX-1:5
13b:a-dman-HEX-1:5
14b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7o(2+1)8d
8:5o(6+1)9d
9:9o(3+1)10d
10:9o(6+1)11d
11:11o(2+1)12d
12:11o(6+1)13d
13:13o(2+1)14d"
"http://rdf.glycoinfo.org/glycan/G28510RN"	"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
4b:b-dglc-HEX-1:5
5b:b-dglc-HEX-1:5
6b:b-dglc-HEX-1:5
7b:b-dglc-HEX-1:5
8b:b-dglc-HEX-1:5
9b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d
2:1o(6+1)3d
3:3o(6+1)4d
4:4o(3+1)5d
5:4o(6+1)6d
6:6o(6+1)7d
7:7o(3+1)8d
8:7o(6+1)9d"
"http://rdf.glycoinfo.org/glycan/G96797DM"	"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
4b:b-dglc-HEX-1:5
5b:a-dxyl-PEN-1:5
6b:b-dgal-HEX-1:5
7b:a-dxyl-PEN-1:5
LIN
1:1o(4+1)2d
2:2o(4+1)3d
3:3o(4+1)4d
4:3o(6+1)5d
5:5o(2+1)6d
6:2o(6+1)7d"
"http://rdf.glycoinfo.org/glycan/G76118WO"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:b-dglc-HEX-1:5
6s:n-acetyl
7b:b-dgal-HEX-1:5
8b:a-dman-HEX-1:5
9b:b-dglc-HEX-1:5
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4o(2+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:3o(6+1)8d
8:8o(2+1)9d
9:9d(2+1)10n"
"http://rdf.glycoinfo.org/glycan/G59221CU"	"RES
1b:a-dglc-HEX-1:5
2s:sulfate
3s:sulfate
4b:a-dglc-HEX-1:5
5s:sulfate
6s:sulfate
LIN
1:1o(2+1)2n
2:1o(3+1)3n
3:1o(6+1)4d
4:4o(2+1)5n
5:4o(3+1)6n"
"http://rdf.glycoinfo.org/glycan/G84381XE"	"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4s:phosphate
5b:a-dman-HEX-1:5
6b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(2+1)3d
3:3o(6+1)4n
4:1o(6+1)5d
5:5o(2+1)6d"
"http://rdf.glycoinfo.org/glycan/G56360MU"	"RES
1b:a-dglc-HEX-1:5
2s:amino
3b:a-dman-HEX-1:5
4s:phosphate
5b:a-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8s:phosphate
9s:phosphate
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(2+1)4n
4:3o(6+1)5d
5:5o(2+1)6d
6:6o(2+1)7d
7:6o(6+1)8n
8:5o(6+1)9n"
"http://rdf.glycoinfo.org/glycan/G71700DH"	"RES
1b:x-dglc-HEX-1:5
2b:a-dgal-HEX-1:5
3b:b-dglc-HEX-1:5
4s:phosphate
LIN
1:1o(3+1)2d
2:2o(6+1)3d
3:3o(6+1)4n"
"http://rdf.glycoinfo.org/glycan/G89333WS"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:b-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:5o(6+1)8d"
"http://rdf.glycoinfo.org/glycan/G20598MJ"	"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dgal-HEX-1:5
4b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3o(6+1)4d"
"http://rdf.glycoinfo.org/glycan/G93788SW"	"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dgal-HEX-1:5
10b:a-dman-HEX-1:5
11b:b-dglc-HEX-1:5
12s:n-acetyl
13b:b-dgal-HEX-1:5
14b:b-dglc-HEX-1:5
15s:n-acetyl
16b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:5o(6+1)10d
10:10o(2+1)11d
11:11d(2+1)12n
12:11o(4+1)13d
13:10o(6+1)14d
14:14d(2+1)15n
15:14o(4+1)16d"
"http://rdf.glycoinfo.org/glycan/G32648VR"	"RES
1b:x-dgal-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
4b:b-dgal-HEX-1:5
5b:b-dglc-HEX-1:5
6s:n-acetyl
7b:b-dgal-HEX-1:5
LIN
1:1o(2+1)2d
2:2d(2+1)3n
3:2o(4+1)4d
4:1o(3+1)5d
5:5d(2+1)6n
6:5o(4+1)7d"
"http://rdf.glycoinfo.org/glycan/G73896IF"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
9b:x-dglc-HEX-1:5
10b:a-dman-HEX-1:5
11b:a-dman-HEX-1:5
12b:a-dman-HEX-1:5
13b:a-dman-HEX-1:5
14b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7o(2+1)8d
8:8o(3+1)9d
9:5o(6+1)10d
10:10o(3+1)11d
11:11o(2+1)12d
12:10o(6+1)13d
13:13o(2+1)14d"
"http://rdf.glycoinfo.org/glycan/G18463JR"	"RES
1b:b-dgal-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
4b:b-dgal-HEX-1:5
5b:b-dglc-HEX-1:5
6b:b-dgal-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dgal-HEX-1:5
10b:b-dglc-HEX-1:5
11b:b-dgal-HEX-1:5
12b:b-dglc-HEX-1:5
13s:n-acetyl
14b:b-dgal-HEX-1:5
15b:b-dglc-HEX-1:5
16b:b-dgal-HEX-1:5
17b:b-dglc-HEX-1:5
18s:n-acetyl
19b:b-dgal-HEX-1:5
LIN
1:1o(3+1)2d
2:2d(2+1)3n
3:2o(4+1)4d
4:1o(4+1)5d
5:5o(4+1)6d
6:6o(3+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:6o(4+1)10d
10:10o(4+1)11d
11:11o(3+1)12d
12:12d(2+1)13n
13:12o(4+1)14d
14:11o(4+1)15d
15:15o(4+1)16d
16:16o(3+1)17d
17:17d(2+1)18n
18:17o(4+1)19d"
"http://rdf.glycoinfo.org/glycan/G37582GI"	"RES
1b:a-dglc-HEX-1:5
2s:phosphate
LIN
1:1o(6+1)2n"
"http://rdf.glycoinfo.org/glycan/G73365KM"	"RES
1b:a-dman-HEX-1:5
2b:a-dman-HEX-1:5
3s:phosphate
LIN
1:1o(6+1)2d
2:2o(6+1)3n"
"http://rdf.glycoinfo.org/glycan/G44414OJ"	"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(3+1)3d"
"http://rdf.glycoinfo.org/glycan/G99270AV"	"RES
1b:b-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:a-dman-HEX-1:5
10b:b-dglc-HEX-1:5
11s:n-acetyl
12b:b-dgal-HEX-1:5
13b:b-dglc-HEX-1:5
14s:n-acetyl
15b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7d(2+1)8n
8:5o(6+1)9d
9:9o(2+1)10d
10:10d(2+1)11n
11:10o(4+1)12d
12:9o(6+1)13d
13:13d(2+1)14n
14:13o(4+1)15d"
"http://rdf.glycoinfo.org/glycan/G25435RM"	"RES
1b:a-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
3b:b-dgal-HEX-1:5
LIN
1:1o(1+1)2d
2:2o(6+1)3d"
"http://rdf.glycoinfo.org/glycan/G07893YP"	"RES
1b:a-dglc-HEX-1:5
2s:acetyl
3s:acetyl
4b:a-dglc-HEX-1:5
5s:acetyl
6s:acetyl
7b:a-dglc-HEX-1:5
8s:acetyl
9s:acetyl
10b:a-dglc-HEX-1:5
11s:acetyl
12s:acetyl
13b:a-dglc-HEX-1:5
14s:acetyl
15s:acetyl
16b:a-dglc-HEX-1:5
17s:acetyl
18s:acetyl
19b:a-dglc-HEX-1:5
20s:acetyl
21s:acetyl
22s:acetyl
23s:acetyl
24s:acetyl
25s:acetyl
26s:acetyl
27s:acetyl
LIN
1:1o(2+1)2n
2:1o(3+1)3n
3:1o(4+1)4d
4:4o(2+1)5n
5:4o(3+1)6n
6:4o(4+1)7d
7:7o(2+1)8n
8:7o(3+1)9n
9:7o(4+1)10d
10:10o(2+1)11n
11:10o(3+1)12n
12:10o(4+1)13d
13:13o(2+1)14n
14:13o(3+1)15n
15:13o(4+1)16d
16:16o(2+1)17n
17:16o(3+1)18n
18:16o(4+1)19d
19:19o(2+1)20n
20:19o(3+1)21n
21:19o(4+1)1d
22:16o(6+1)22n
23:13o(6+1)23n
24:10o(6+1)24n
25:7o(6+1)25n
26:4o(6+1)26n
27:1o(6+1)27n"
"http://rdf.glycoinfo.org/glycan/G79618ZJ"	"RES
1b:a-dman-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dgal-HEX-1:5
4b:a-dara-PEN-1:5
5s:phosphate
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3o(2+1)4d
4:2o(6+1)5n"
"http://rdf.glycoinfo.org/glycan/G83663RK"	"RES
1b:b-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
LIN
1:1o(6+1)2d
2:2o(2+1)3d
3:3d(2+1)4n"
"http://rdf.glycoinfo.org/glycan/G47141KV"	"RES
1b:x-dman-HEX-1:5
2b:b-dman-HEX-1:5
3b:b-dman-HEX-1:5
4b:b-dman-HEX-1:5
5b:b-dman-HEX-1:5
6b:b-dman-HEX-1:5
7b:a-dgal-HEX-1:5
8b:a-dgal-HEX-1:5
9b:a-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(4+1)3d
3:3o(4+1)4d
4:4o(4+1)5d
5:5o(4+1)6d
6:4o(6+1)7d
7:3o(6+1)8d
8:1o(6+1)9d"
"http://rdf.glycoinfo.org/glycan/G57354UK"	"RES
1b:x-dglc-HEX-1:5
2s:amino
3b:a-dman-HEX-1:5
4s:phosphate
5b:b-dgal-HEX-1:5
6s:n-acetyl
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
9b:a-dglc-HEX-1:5
10s:phosphate
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(2+1)4n
4:3o(4+1)5d
5:5d(2+1)6n
6:3o(6+1)7d
7:7o(2+1)8d
8:8o(2+1)9d
9:8o(6+1)10n"
